,uM,Fit
9,100.0,0.08849557522123892
24,0.3,0.9911504424778761
39,0.1,0.9410029498525073
54,0.03,0.8820058997050146
69,0.01,0.8997050147492625
84,0.003,0.8938053097345132
99,0.0,1.0
129,30.0,0.19469026548672566
144,10.0,0.6578171091445426
159,3.0,0.8731563421828907
174,1.0,0.9410029498525073
369,100.0,0.10452961672473866
382,0.3,0.9930313588850174
395,0.1,1.1602787456445993
408,0.03,1.0209059233449476
421,0.01,1.3623693379790938
434,0.003,0.975609756097561
447,0.0,1.0
473,30.0,0.10452961672473866
486,10.0,0.16724738675958192
499,3.0,0.5993031358885016
512,1.0,0.9860627177700348
861,100.0,0.10992907801418439
874,0.3,0.9716312056737588
887,0.1,1.127659574468085
900,0.03,0.8971631205673758
913,0.01,1.2092198581560283
926,0.003,1.0496453900709217
939,0.0,1.0
965,30.0,0.15602836879432627
978,10.0,0.5390070921985816
991,3.0,0.9184397163120567
1004,1.0,0.9858156028368794
1017,100.0,0.11313868613138685
1030,0.3,0.8795620437956202
1043,0.1,1.0656934306569343
1056,0.03,0.9562043795620437
1069,0.01,0.802919708029197
1082,0.003,1.0766423357664234
1095,0.0,1.0
1121,30.0,0.1094890510948905
1134,10.0,0.218978102189781
1147,3.0,0.886861313868613
1160,1.0,1.094890510948905
